Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-09-30,Afghanistan,Afghani,Afghanistan-Afghani,88.04,2022-09-30,1,2022,4,2022,3,09,30
2022-09-30,Albania,Lek,Albania-Lek,118.93,2022-09-30,2,2022,4,2022,3,09,30
2022-09-30,Algeria,Dinar,Algeria-Dinar,140.422,2022-09-30,3,2022,4,2022,3,09,30
2022-09-30,Angola,Kwanza,Angola-Kwanza,423.412,2022-09-30,4,2022,4,2022,3,09,30
2022-09-30,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,2022-09-30,5,2022,4,2022,3,09,30
2022-09-30,Argentina,Peso,Argentina-Peso,153.0,2022-09-30,6,2022,4,2022,3,09,30
2022-09-30,Armenia,Dram,Armenia-Dram,420.0,2022-09-30,7,2022,4,2022,3,09,30
2022-09-30,Australia,Dollar,Australia-Dollar,1.547,2022-09-30,8,2022,4,2022,3,09,30
2022-09-30,Azerbaijan,Manat,Azerbaijan-Manat,1.7,2022-09-30,9,2022,4,2022,3,09,30
2022-09-30,Bahamas,Dollar,Bahamas-Dollar,1.0,2022-09-30,10,2022,4,2022,3,09,30
2022-09-30,Bahrain,Dinar,Bahrain-Dinar,0.377,2022-09-30,11,2022,4,2022,3,09,30
2022-09-30,Bangladesh,Taka,Bangladesh-Taka,103.0,2022-09-30,12,2022,4,2022,3,09,30
2022-09-30,Barbados,Dollar,Barbados-Dollar,2.02,2022-09-30,13,2022,4,2022,3,09,30
2022-09-30,Belarus,New Ruble,Belarus-New Ruble,2.518,2022-09-30,14,2022,4,2022,3,09,30
2022-09-30,Belize,Dollar,Belize-Dollar,2.0,2022-09-30,15,2022,4,2022,3,09,30
2022-09-30,Benin,CFA Franc,Benin-CFA Franc,673.48,2022-09-30,16,2022,4,2022,3,09,30
2022-09-30,Bermuda,Dollar,Bermuda-Dollar,1.0,2022-09-30,17,2022,4,2022,3,09,30
2022-09-30,Bolivia,Boliviano,Bolivia-Boliviano,6.85,2022-09-30,18,2022,4,2022,3,09,30
2022-09-30,Bosnia,Marka,Bosnia-Marka,2.006,2022-09-30,19,2022,4,2022,3,09,30
2022-09-30,Botswana,Pula,Botswana-Pula,13.28,2022-09-30,20,2022,4,2022,3,09,30
2022-09-30,Brazil,Real,Brazil-Real,5.397,2022-09-30,21,2022,4,2022,3,09,30
2022-09-30,Brunei,Dollar,Brunei-Dollar,1.436,2022-09-30,22,2022,4,2022,3,09,30
2022-09-30,Bulgaria,Lev New,Bulgaria-Lev New,2.006,2022-09-30,23,2022,4,2022,3,09,30
2022-09-30,Burkina Faso,CFA Franc,Burkina Faso-CFA Franc,673.48,2022-09-30,24,2022,4,2022,3,09,30
2022-09-30,Burma,Kyat,Burma-Kyat,2100.0,2022-09-30,25,2022,4,2022,3,09,30
2022-09-30,Burundi,Franc,Burundi-Franc,2031.97,2022-09-30,26,2022,4,2022,3,09,30
2022-09-30,Cambodia,Riel,Cambodia-Riel,4051.0,2022-09-30,27,2022,4,2022,3,09,30
2022-09-30,Cameroon,CFA Franc,Cameroon-CFA Franc,672.91,2022-09-30,28,2022,4,2022,3,09,30
2022-09-30,Canada,Dollar,Canada-Dollar,1.374,2022-09-30,29,2022,4,2022,3,09,30
2022-09-30,Cape Verde,Escudo,Cape Verde-Escudo,113.0,2022-09-30,30,2022,4,2022,3,09,30
2022-09-30,Cayman Island,Dollar,Cayman Island-Dollar,0.82,2022-09-30,31,2022,4,2022,3,09,30
2022-09-30,Central African Rep.,CFA Franc,Central African Rep.-CFA Franc,672.91,2022-09-30,32,2022,4,2022,3,09,30
2022-09-30,Chad,CFA Franc,Chad-CFA Franc,672.91,2022-09-30,33,2022,4,2022,3,09,30
2022-09-30,Chile,Peso,Chile-Peso,960.1,2022-09-30,34,2022,4,2022,3,09,30
2022-09-30,China,Renminbi,China-Renminbi,7.114,2022-09-30,35,2022,4,2022,3,09,30
2022-09-30,Colombia,Peso,Colombia-Peso,4518.3,2022-09-30,36,2022,4,2022,3,09,30
2022-09-30,Comoros,Franc,Comoros-Franc,507.53,2022-09-30,37,2022,4,2022,3,09,30
